id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,vid_id
XP4QnUAK_oM,20,0,0,0,0,XP4QnUAK_oM
zdbPGKwTntw,95,0,0,0,0,zdbPGKwTntw
zmuDqFRNZQY,50,0,0,0,0,zmuDqFRNZQY
nsKtcGZF2iw,574,4,2,0,2,nsKtcGZF2iw
0srPwc5Ey1U,30,0,0,0,0,0srPwc5Ey1U
m0kwyGCKZkc,38,2,0,0,0,m0kwyGCKZkc
3X8zSrcB1vk,4640,79,5,0,39,3X8zSrcB1vk
ShKDfSIUCGs,37,0,0,0,0,ShKDfSIUCGs
C8TYFJ76aI8,65,0,1,0,4,C8TYFJ76aI8
eKGCVKLFU68,22,1,0,0,0,eKGCVKLFU68
UAo99YBBIes,21,0,0,0,0,UAo99YBBIes
DIL_2QxBicE,30,0,0,0,0,DIL_2QxBicE
JyV4rU-asa0,91,0,0,0,0,JyV4rU-asa0
DC-qO3BuTok,128,0,2,0,1,DC-qO3BuTok
y-5mFNxWhe4,489,6,0,0,3,y-5mFNxWhe4
jJ6MIQ9GK8o,52,2,0,0,0,jJ6MIQ9GK8o
58N7JGvkdYs,16,0,1,0,0,58N7JGvkdYs
1eertG1U41s,19,0,0,0,0,1eertG1U41s
wr2WntphQQk,12,0,0,0,0,wr2WntphQQk
EI0AKrzDsqE,9,0,0,0,0,EI0AKrzDsqE
QGsjFZkf7Ws,56,0,1,0,0,QGsjFZkf7Ws
5vcuwB4b6Tg,40,0,0,0,0,5vcuwB4b6Tg
HDUIShggOnE,4,0,0,0,0,HDUIShggOnE
hrVHJIXenjQ,3,0,0,0,0,hrVHJIXenjQ
QcYsL2AbmgI,1,0,0,0,0,QcYsL2AbmgI
TEyVijHPddA,6,0,0,0,0,TEyVijHPddA
7qHHY2b6UjU,2,0,0,0,0,7qHHY2b6UjU
JeerH2zWDIY,1,0,0,0,0,JeerH2zWDIY
TIMTN_tnvm8,7,0,0,0,0,TIMTN_tnvm8
okw4MQcmyrw,8,0,0,0,0,okw4MQcmyrw
LVrrChExTb8,0,0,0,0,0,LVrrChExTb8
tz6fqam5OTc,3,0,0,0,0,tz6fqam5OTc
SGA6f8DRl50,1598,13,0,0,4,SGA6f8DRl50
XnIwrJ9gvGg,15,0,0,0,0,XnIwrJ9gvGg
d9ea-c4G-F4,9,0,0,0,0,d9ea-c4G-F4
CaABxYemudY,11,0,0,0,0,CaABxYemudY
vn9CLg8IflE,8,1,0,0,0,vn9CLg8IflE
IjzgSqMrLvA,4,0,0,0,0,IjzgSqMrLvA
FHntMe8lG58,6,0,0,0,0,FHntMe8lG58
jg8YaNMro1w,6,0,0,0,0,jg8YaNMro1w
6o85JA0lvSs,22,0,0,0,0,6o85JA0lvSs
F7fktI4pHB4,1,0,0,0,0,F7fktI4pHB4
3CJbA6h1sKA,8,0,0,0,0,3CJbA6h1sKA
AzhZedswl3U,5,0,0,0,0,AzhZedswl3U
pDaqx8unyjs,2,0,0,0,0,pDaqx8unyjs
heJhATaQUfo,3,0,0,0,0,heJhATaQUfo
5vIk8_WREdY,2,0,0,0,0,5vIk8_WREdY
5lbvQraV7mE,1,0,0,0,0,5lbvQraV7mE
