"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"KOR","Korea","CPNCU","Current prices in NCU","2011","2011","KRW","Won","0","Units",,,31821592,,
"KOR","Korea","CPNCU","Current prices in NCU","2012","2012","KRW","Won","0","Units",,,32079712,,
"KOR","Korea","CPNCU","Current prices in NCU","2013","2013","KRW","Won","0","Units",,,32859444,,
"KOR","Korea","CPNCU","Current prices in NCU","2014","2014","KRW","Won","0","Units",,,33224208,,
"KOR","Korea","CPNCU","Current prices in NCU","2015","2015","KRW","Won","0","Units",,,33911008,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,40504,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,41761,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,43243,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,43938,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,45492,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,47130,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,48994,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,51418,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,52738,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,53911,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,55098,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,55939,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,56539,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,58489,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,60064,,
"LUX","Luxembourg","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,60381,,
"NLD","Netherlands","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,31867,,
"NLD","Netherlands","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,33419,,
"NLD","Netherlands","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,34689,,
"NLD","Netherlands","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,35738,,
"NLD","Netherlands","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,36831,,
"NLD","Netherlands","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,37502,,
"NLD","Netherlands","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,38463,,
