dir_file_unlists,emd,v_station,votes,ballots,saenuri,minju,people,justice,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,invalid,abstain
03_data/비례대표/14전남/개표상황(투표구별)_순천시.xlsx,합계,NA,220698,151803,13392,53116,61970,7427,3026,3136,178,92,65,54,44,81,762,357,930,3162,77,24,112,124,178,148307,3496,68895
03_data/비례대표/14전남/개표상황(투표구별)_신안군.xlsx,합계,NA,38798,25703,2727,5619,10546,1189,2056,679,46,58,28,6,18,32,322,72,66,269,24,29,126,78,105,24095,1608,13095
03_data/비례대표/14전남/개표상황(투표구별)_여수시.xlsx,합계,NA,235441,140687,6128,42831,66159,7519,4274,3095,130,105,93,62,89,149,1086,449,450,3149,96,57,176,206,217,136520,4167,94754
03_data/비례대표/14전남/개표상황(투표구별)_영광군.xlsx,합계,NA,47325,29272,949,8204,13377,1317,715,651,56,41,40,14,25,54,180,97,129,1737,29,22,83,108,85,27913,1359,18053
03_data/비례대표/14전남/개표상황(투표구별)_영암군.xlsx,합계,NA,47932,30117,1799,6831,14539,2422,1234,715,43,21,31,17,18,48,205,115,135,403,22,14,50,64,71,28797,1320,17815
03_data/비례대표/14전남/개표상황(투표구별)_완도군.xlsx,합계,NA,45173,31151,1011,11249,13404,1029,553,941,50,29,29,9,33,41,139,63,79,532,24,12,70,101,82,29480,1671,14022
03_data/비례대표/14전남/개표상황(투표구별)_장성군.xlsx,합계,NA,39082,24261,1180,7044,12132,1153,414,499,30,20,16,15,21,40,99,62,107,223,20,7,43,58,48,23231,1030,14821
03_data/비례대표/14전남/개표상황(투표구별)_장흥군.xlsx,합계,NA,35571,22627,919,5172,10470,869,807,667,28,22,33,9,23,44,120,109,163,1708,34,36,96,84,66,21479,1148,12944
03_data/비례대표/14전남/개표상황(투표구별)_진도군.xlsx,합계,NA,27788,17748,618,4701,9054,697,354,529,30,15,15,5,24,31,95,65,65,297,10,21,43,63,50,16782,966,10040
03_data/비례대표/14전남/개표상황(투표구별)_함평군.xlsx,합계,NA,30302,18950,595,5682,9066,861,669,442,29,43,30,11,17,20,133,50,63,231,13,17,43,56,49,18120,830,11352
03_data/비례대표/14전남/개표상황(투표구별)_해남군.xlsx,합계,NA,64138,41836,1405,8160,23759,1827,945,1277,51,34,49,26,34,64,245,113,215,1374,26,40,69,92,82,39887,1949,22302
03_data/비례대표/14전남/개표상황(투표구별)_화순군.xlsx,합계,NA,54593,34984,1274,10401,16358,1658,581,746,40,26,36,12,22,48,173,144,154,1541,21,24,82,122,108,33571,1413,19609
03_data/비례대표/15경북/개표상황(투표구별)_경산시.xlsx,합계,NA,211167,109005,57961,14162,15658,9444,3616,662,139,137,55,78,82,204,685,322,615,371,111,29,37,70,728,105166,3839,102162
03_data/비례대표/15경북/개표상황(투표구별)_경주시.xlsx,합계,NA,217663,129466,70400,16234,18047,7551,4099,1717,199,175,117,148,113,429,738,1083,692,671,184,33,103,129,1235,124097,5369,88197
03_data/비례대표/15경북/개표상황(투표구별)_고령군.xlsx,합계,NA,30106,15974,9630,2024,1698,506,426,102,31,13,19,16,26,43,88,46,65,71,15,4,17,24,140,15004,970,14132
